@relation 'training_set-weka.filters.unsupervised.attribute.Remove-R2,4'

@attribute class {DRG039,DRG057,DRG069,DRG064,DRG065,DRG066,DRG074,DRG101,DRG149,DRG176,DRG177,DRG189,DRG178,DRG190,DRG191,DRG193,DRG194,DRG192,DRG195,DRG202,DRG203,DRG207,DRG238,DRG252,DRG253,DRG208,DRG254,DRG291,DRG243,DRG244,DRG246,DRG247,DRG249,DRG251,DRG280,DRG292,DRG281,DRG282,DRG286,DRG287,DRG293,DRG300,DRG301,DRG303,DRG305,DRG308,DRG312,DRG309,DRG310,DRG313,DRG314,DRG315,DRG330,DRG377,DRG329,DRG372,DRG378,DRG379,DRG389,DRG390,DRG391,DRG394,DRG439,DRG392,DRG460,DRG473,DRG418,DRG419,DRG469,DRG470,DRG480,DRG481,DRG536,DRG482,DRG552,DRG491,DRG563,DRG602,DRG603,DRG638,DRG640,DRG682,DRG641,DRG683,DRG684,DRG689,DRG690,DRG811,DRG698,DRG699,DRG812,DRG853,DRG885,DRG870,DRG871,DRG872,DRG897,DRG948,DRG917,DRG918}
@attribute providerRegionDescription {RIDALDothan,RIDALBirmingham,RIDALMontgomery,RIDALHuntsville,RIDAZPhoenix,RIDAZMesa,RIDARJonesboro,RIDALTuscaloosa,RIDALMobile,RIDFLClearwater,RIDMABoston,RIDNHManchester,RIDNYAlbany,RIDTXHouston,RIDWIMilwaukee,RIDFLMiami,RIDNDBismarck,RIDTXDallas,RIDFLOrlando,RIDFLPensacola,RIDGAAtlanta,RIDMOSt.Louis,RIDILJoliet,RIDMEBangor,RIDCASantaCruz,RIDCTHartford,RIDFLOcala,RIDCTNewHaven,RIDSCCharleston,RIDNJCamden,RIDNYBronx,RIDPAErie,RIDKSWichita,RIDPAPittsburgh,RIDMEPortland,RIDGAAugusta,RIDGAMacon,RIDILEvanston,RIDILElgin,RIDMDSalisbury,RIDMIAnnArbor,RIDMILansing,RIDKYPaducah,RIDNJMorristown,RIDCANapa,RIDCASacramento,RIDCODenver,RIDCOGreeley,RIDCTBridgeport,RIDFLFortMyers,RIDCAChico,RIDTNMemphis,RIDOHCanton,RIDARSpringdale,RIDCAFresno,RIDCAStockton,RIDCALosAngeles,RIDMNDuluth,RIDCAOrangeCounty,RIDCASanDiego,RIDCASanBernardino,RIDNCRaleigh,RIDWIAppleton,RIDILBloomington,RIDPAAllentown,RIDCARedding,RIDAZTucson,RIDIAIowaCity,RIDMIDearborn,RIDILSpringfield,RIDARLittleRock,RIDCOBoulder,RIDCOFortCollins,RIDPAJohnstown,RIDWIMadison,RIDNEOmaha,RIDOHCleveland,RIDTXElPaso,RIDCASalinas,RIDCABakersfield,RIDDCWashington,RIDFLJacksonville,RIDHIHonolulu,RIDILChicago,RIDINGary,RIDLAShreveport,RIDLAMonroe,RIDCAModesto}
@attribute averageCoveredPayments numeric
@attribute averageTotalPayments numeric
@attribute averageMedicarePayments numeric

@data
DRG178,RIDALDothan,31341.59,7873.54,7017.5
DRG178,RIDALBirmingham,16967,9003.79,7318.62
DRG178,RIDALBirmingham,41442.48,8063.38,7338.25
DRG178,RIDALBirmingham,60995.86,8001,7254.86
DRG178,RIDALHuntsville,21231.8,6822.23,6233.85
DRG178,RIDALBirmingham,25045.47,8109.05,7363.7
DRG178,RIDALBirmingham,45575.22,7485.22,6708.18
DRG178,RIDALBirmingham,47358.07,11643.85,6528.35
DRG178,RIDALBirmingham,19213.72,8227.44,7539.22
DRG178,RIDALDothan,11068.06,8318.26,7268.13
DRG190,RIDFLMiami,74033.39,10502.2,9684.79
DRG191,RIDMABoston,10720.44,6626.73,5795.16
DRG191,RIDNYAlbany,24863.55,7104.18,6384.63
DRG191,RIDNDBismarck,9740.11,6105.7,5083.92
DRG191,RIDTXDallas,25926.3,5430,4377.92
DRG193,RIDFLOrlando,56522.28,10825.15,8759.08
DRG193,RIDFLMiami,84811.14,12814.58,12161.02
DRG193,RIDFLPensacola,69529.45,7300.55,6626.15
DRG189,RIDALDothan,28807.61,7254.19,6552.4
DRG189,RIDALBirmingham,19396.71,7274.05,6599.39
DRG193,RIDFLOrlando,42686.11,10055,8127
DRG193,RIDGAAtlanta,29133.29,8500.69,7785.85
DRG193,RIDMOSt.Louis,34461.18,8510.93,7479.23
DRG193,RIDILJoliet,32328.51,10612.25,8838.82
DRG193,RIDMOSt.Louis,26018.26,8182.25,6932.58
DRG193,RIDMOSt.Louis,28360.51,8158.2,7266.36
DRG190,RIDALDothan,26582.76,6738.57,5957.19
DRG190,RIDALBirmingham,16319.81,6775.05,5898.75
DRG190,RIDALBirmingham,31315.1,6468.14,5264.94
DRG190,RIDALDothan,16595,6134.64,5409.21
DRG190,RIDALBirmingham,31052.58,5992.66,5246
DRG190,RIDALHuntsville,18222.76,6179.3,5368.64
DRG190,RIDALBirmingham,27379.08,6559.67,5420.63
DRG190,RIDALBirmingham,27517.21,6042.08,5125.76
DRG190,RIDALBirmingham,36289.97,6508.13,5760.57
DRG193,RIDMEBangor,22451.92,9080.96,8412.51
DRG191,RIDALDothan,23894.34,5464.65,4578.85
DRG191,RIDALBirmingham,12395.69,5859.8,4535.5
DRG191,RIDALBirmingham,23476.8,5342.55,4187.43
DRG191,RIDALDothan,13101.2,5052.6,4277.52
DRG191,RIDALBirmingham,42049.7,5854.61,4269.09
DRG191,RIDALHuntsville,13337.72,5064.86,3873.29
DRG194,RIDCASantaCruz,60386.84,9175.01,8250.46
DRG194,RIDCTHartford,16737.85,6583.78,5606.82
DRG194,RIDFLMiami,33432.12,7389.15,6414.65
DRG192,RIDALDothan,15609.81,4482.18,3003.53
DRG192,RIDALBirmingham,9892.56,4439.56,3240.83
DRG192,RIDALBirmingham,18648.83,5096.73,2597.97
DRG192,RIDALDothan,7997.08,3794.14,2700.91
DRG192,RIDALMontgomery,13444,5213.91,4049.65
