@relation 'training_set-weka.filters.unsupervised.attribute.Remove-R2,4'

@attribute class {DRG039,DRG057,DRG069,DRG064,DRG065,DRG066,DRG074,DRG101,DRG149,DRG176,DRG177,DRG189,DRG178,DRG190,DRG191,DRG193,DRG194,DRG192,DRG195,DRG202,DRG203,DRG207,DRG238,DRG252,DRG253,DRG208,DRG254,DRG291,DRG243,DRG244,DRG246,DRG247,DRG249,DRG251,DRG280,DRG292,DRG281,DRG282,DRG286,DRG287,DRG293,DRG300,DRG301,DRG303,DRG305,DRG308,DRG312,DRG309,DRG310,DRG313,DRG314,DRG315,DRG330,DRG377,DRG329,DRG372,DRG378,DRG379,DRG389,DRG390,DRG391,DRG394,DRG439,DRG392,DRG460,DRG473,DRG418,DRG419,DRG469,DRG470,DRG480,DRG481,DRG536,DRG482,DRG552,DRG491,DRG563,DRG602,DRG603,DRG638,DRG640,DRG682,DRG641,DRG683,DRG684,DRG689,DRG690,DRG811,DRG698,DRG699,DRG812,DRG853,DRG885,DRG870,DRG871,DRG872,DRG897,DRG948,DRG917,DRG918}
@attribute providerRegionDescription {RIDALDothan,RIDALBirmingham,RIDALMontgomery,RIDALHuntsville,RIDAZPhoenix,RIDAZMesa,RIDARJonesboro,RIDALTuscaloosa,RIDALMobile,RIDFLClearwater,RIDMABoston,RIDNHManchester,RIDNYAlbany,RIDTXHouston,RIDWIMilwaukee,RIDFLMiami,RIDNDBismarck,RIDTXDallas,RIDFLOrlando,RIDFLPensacola,RIDGAAtlanta,RIDMOSt.Louis,RIDILJoliet,RIDMEBangor,RIDCASantaCruz,RIDCTHartford,RIDFLOcala,RIDCTNewHaven,RIDSCCharleston,RIDNJCamden,RIDNYBronx,RIDPAErie,RIDKSWichita,RIDPAPittsburgh,RIDMEPortland,RIDGAAugusta,RIDGAMacon,RIDILEvanston,RIDILElgin,RIDMDSalisbury,RIDMIAnnArbor,RIDMILansing,RIDKYPaducah,RIDNJMorristown,RIDCANapa,RIDCASacramento,RIDCODenver,RIDCOGreeley,RIDCTBridgeport,RIDFLFortMyers,RIDCAChico,RIDTNMemphis,RIDOHCanton,RIDARSpringdale,RIDCAFresno,RIDCAStockton,RIDCALosAngeles,RIDMNDuluth,RIDCAOrangeCounty,RIDCASanDiego,RIDCASanBernardino,RIDNCRaleigh,RIDWIAppleton,RIDILBloomington,RIDPAAllentown,RIDCARedding,RIDAZTucson,RIDIAIowaCity,RIDMIDearborn,RIDILSpringfield,RIDARLittleRock,RIDCOBoulder,RIDCOFortCollins,RIDPAJohnstown,RIDWIMadison,RIDNEOmaha,RIDOHCleveland,RIDTXElPaso,RIDCASalinas,RIDCABakersfield,RIDDCWashington,RIDFLJacksonville,RIDHIHonolulu,RIDILChicago,RIDINGary,RIDLAShreveport,RIDLAMonroe,RIDCAModesto}
@attribute averageCoveredPayments numeric
@attribute averageTotalPayments numeric
@attribute averageMedicarePayments numeric

@data
DRG469,RIDALBirmingham,101388.37,18775.66,17744.62
DRG469,RIDALBirmingham,73278.81,22362,18620.36
DRG469,RIDALMontgomery,50748.46,19315.23,18621.07
DRG469,RIDALMontgomery,62154.8,17080.93,16255.06
DRG469,RIDALBirmingham,30602.33,17441.72,16503.72
DRG469,RIDALBirmingham,72602.33,22759.22,19315.33
DRG469,RIDALBirmingham,58004.09,17419.03,16443.41
DRG469,RIDALHuntsville,79561.71,18370.05,16869.51
DRG469,RIDALBirmingham,176043.68,18370.5,17386
DRG470,RIDALDothan,43444.03,11806.1,10298.39
DRG470,RIDALBirmingham,31340.35,11906.23,10745.39
DRG470,RIDALBirmingham,48762.16,11198.83,9923.58
DRG470,RIDALDothan,41182.94,11275,9868.64
DRG470,RIDALHuntsville,35097,10516.4,9261.66
DRG470,RIDALBirmingham,31092.75,11313.79,9923.65
DRG470,RIDALBirmingham,80144.8,11005.43,10046.9
DRG470,RIDALBirmingham,50754.3,11404.86,10075.74
DRG470,RIDALBirmingham,30397.36,11703.34,10315.33
DRG470,RIDALDothan,40187.86,12372,11321.86
DRG473,RIDAZTucson,59996.05,12224.27,10052.88
DRG473,RIDALDothan,38770.44,11485.79,10093.89
DRG473,RIDALBirmingham,36935.52,10208.41,8968.88
DRG473,RIDALBirmingham,23604.07,11312,10186.85
DRG473,RIDALBirmingham,31326.81,11543.5,10413.5
DRG473,RIDALBirmingham,19363.23,11192.47,9967.61
DRG473,RIDALMontgomery,28614.89,13294.88,12035.55
DRG480,RIDALDothan,45026.66,16120.54,15417.04
DRG480,RIDALBirmingham,49539.28,15087.64,14209.64
DRG480,RIDALBirmingham,56918.71,18236.28,15380.07
DRG480,RIDALMontgomery,96497.28,21897.92,18914.21
DRG480,RIDALBirmingham,23062.46,16408,15733.06
DRG480,RIDALBirmingham,82164.52,24351.7,23954.05
DRG480,RIDALBirmingham,56817.73,16045.17,15214.04
DRG480,RIDALHuntsville,67629.71,18173.67,15991.93
DRG480,RIDALBirmingham,150979.61,15597.92,14567.76
DRG480,RIDALDothan,73323.54,15788.72,14762.54
DRG481,RIDALMobile,44535.53,10490.3,8859.84
DRG481,RIDALDothan,35220.98,10517.74,9328.97
DRG481,RIDALBirmingham,21420.32,10703.42,9703
DRG481,RIDALBirmingham,38069.41,9783.5,8620.1
DRG481,RIDALHuntsville,25181.89,9467.27,8537.06
DRG481,RIDALBirmingham,30915.06,10134.44,9037.38
DRG481,RIDALBirmingham,47057.81,10423.32,9419.75
DRG481,RIDALBirmingham,24500.87,10269.54,9476.51
DRG481,RIDALMontgomery,38468.06,12332.36,11387.33
DRG481,RIDALMontgomery,44046.41,10487.03,9644.89
DRG536,RIDIAIowaCity,11878.92,3922.64,2961.5
DRG536,RIDMIDearborn,9975.85,5327.35,4442.5
DRG536,RIDNJCamden,32304.91,4365,3424.33
DRG536,RIDNJCamden,22798.9,4065.27,3050.72
DRG482,RIDALBirmingham,22673.63,8645,6990.59
DRG482,RIDALBirmingham,39732.5,8061.5,7026.35
DRG482,RIDALBirmingham,34373.18,8496,7684.36
DRG482,RIDALBirmingham,18644.68,8375.47,7602.63
DRG482,RIDALMontgomery,30748.81,9872.91,8842.21
DRG482,RIDALMontgomery,33674.13,8623.8,7356.73
DRG482,RIDALBirmingham,14541.71,8702.52,7685.95
DRG482,RIDALBirmingham,51169.47,11176.52,10314.64
DRG482,RIDALBirmingham,24860.15,8409.69,7292.46
DRG482,RIDFLPensacola,33858.42,8616,7654.85
DRG552,RIDCASanDiego,26610.85,5970.57,5007.14
DRG552,RIDCARedding,36127.31,6305.17,5219.93
DRG552,RIDCOGreeley,20543.02,5454.12,4252.91
DRG552,RIDFLMiami,40265.86,6362.72,5466.67
DRG536,RIDCASantaCruz,44193.42,5989.5,5190.07
DRG536,RIDFLMiami,26619.62,11431.56,10449.12
DRG536,RIDFLOcala,14857.82,3687.56,2959.04
DRG536,RIDFLOrlando,8286.94,3897.63,3014.05
DRG491,RIDALDothan,26738.52,5593.42,4470.57
DRG491,RIDALBirmingham,12029.36,5404.54,4384.18
DRG491,RIDALBirmingham,24743.46,5505.88,4508.19
DRG491,RIDALBirmingham,10114.75,5504.1,4384.9
DRG491,RIDALMontgomery,24495.68,6699.95,5389.36
DRG491,RIDALMontgomery,19374.31,5581.96,4461.07
DRG491,RIDALBirmingham,9321.79,5667.17,4617.65
DRG491,RIDALBirmingham,28326.23,7365.71,5624.06
DRG491,RIDALBirmingham,19582.03,5465.1,4167.32
DRG491,RIDALHuntsville,28584.1,5387.7,3512.4
DRG536,RIDFLPensacola,25153.15,3647.53,2704.46
DRG536,RIDILSpringfield,14247,4594.14,3670
DRG552,RIDFLFortMyers,20712.84,4889.45,3755.37
DRG552,RIDALDothan,23609.25,4787.15,3369.56
DRG552,RIDALBirmingham,19366.55,4344.94,3391.36
DRG552,RIDALHuntsville,9332.43,4136.37,3295.37
DRG552,RIDALBirmingham,17363.94,4306.35,3052.58
DRG552,RIDALBirmingham,25184.81,4529.62,3619.87
DRG563,RIDALBirmingham,15115.18,3821.18,2897.9
DRG563,RIDALMontgomery,12743.71,4700.21,3462.78
DRG563,RIDALMontgomery,21852.76,4023.46,3088.07
DRG563,RIDALBirmingham,29579.84,5424.88,3660.04
DRG563,RIDFLPensacola,11880.45,4016,3507.27
DRG563,RIDALHuntsville,19678.8,5371.1,3225.3
DRG563,RIDALDothan,17723.64,3376.57,2494
DRG563,RIDALDothan,25561.18,3759.36,2739
DRG563,RIDALBirmingham,9852.66,3650,3000.33
DRG563,RIDALBirmingham,10926.26,3898.91,2608.47
DRG602,RIDALBirmingham,36261.9,7798.9,7181.45
DRG602,RIDARJonesboro,14580.94,8634.35,7690.76
DRG602,RIDCAOrangeCounty,50997.86,9401.6,8504.53
DRG602,RIDCODenver,49855.3,9748.92,9272.46
DRG602,RIDCTNewHaven,39676.05,11819.85,10980.45
DRG602,RIDALDothan,32120.3,8616.23,6580.92
DRG602,RIDALBirmingham,18892.36,10410.5,9260.13
DRG602,RIDALBirmingham,18768.5,7719.58,6878.58
DRG602,RIDALHuntsville,35634.31,8955.76,8304.6
DRG602,RIDALBirmingham,66209.36,7543,6728.45
DRG603,RIDALDothan,20552.08,4869,3742.46
DRG603,RIDALBirmingham,11822.4,4936.96,3837
DRG603,RIDALBirmingham,17293.2,4460.43,3517.69
DRG603,RIDALDothan,9487.65,4596.6,3287.73
DRG603,RIDALMontgomery,29986.35,8594.92,7540.21
DRG603,RIDALBirmingham,47960.5,4502.66,3570
DRG603,RIDALHuntsville,12739.61,4525.29,3233.48
DRG603,RIDALBirmingham,12357.16,4561.76,3566.6
DRG603,RIDALBirmingham,13023.9,4242.38,2955.66
DRG603,RIDALBirmingham,26019.55,4662.57,3439.42
DRG638,RIDNYAlbany,20006.57,6048.85,5177.85
DRG638,RIDALDothan,21175.81,4678.43,4047.68
DRG638,RIDALBirmingham,9719.16,4863.75,4203.41
DRG638,RIDALBirmingham,17021.54,4434.57,3537.2
DRG638,RIDALBirmingham,15875.5,5176.07,3394.64
DRG638,RIDALBirmingham,13485.75,4222.33,3564.66
DRG638,RIDALBirmingham,19038.27,5379.66,3041.83
DRG638,RIDALBirmingham,10415.45,4555.5,3654.7
DRG638,RIDALMontgomery,15398.35,5554.05,4625.58
DRG638,RIDALMontgomery,19273.22,5185.65,3680.4
DRG640,RIDALDothan,25581,6426.39,5783.36
DRG640,RIDALBirmingham,22928.33,6046.74,5421.4
DRG640,RIDALBirmingham,24594.07,6213.85,5497.57
DRG640,RIDALBirmingham,34376.94,8037.47,4961.17
DRG640,RIDALBirmingham,14626.59,6317,5355.36
DRG640,RIDALMontgomery,19261.41,7375.44,6814.14
DRG640,RIDALMontgomery,23469.31,6455.37,5911.1
DRG640,RIDALBirmingham,11207.14,6293.14,5402.17
DRG640,RIDALBirmingham,25077.21,8382.11,7445.64
DRG640,RIDALBirmingham,22116.34,6133.25,5430.75
DRG682,RIDALBirmingham,13330.43,9145.82,8126.17
DRG682,RIDAZPhoenix,53048.19,18704.14,17255.28
DRG682,RIDARSpringdale,26258.5,8885.75,8186.25
DRG682,RIDARLittleRock,24520.04,9156.3,8499.02
DRG682,RIDCALosAngeles,38904.03,14073.37,13685.24
DRG682,RIDCOGreeley,32640.44,11622.48,9444.79
DRG682,RIDCOBoulder,41485.04,9755.71,9167.33
DRG682,RIDCODenver,47725.17,10025.13,9128.06
DRG641,RIDALDothan,19490.6,4231.15,2905.08
DRG641,RIDALBirmingham,7784.95,3987.47,3313.87
DRG641,RIDALBirmingham,16051.01,3895.65,2889.12
DRG641,RIDALDothan,6835.62,3560.77,2689.88
DRG641,RIDALMontgomery,11360.73,5195.57,3864.78
DRG641,RIDALBirmingham,21286.27,3677.31,3135.24
DRG641,RIDALHuntsville,7612.09,3634.48,2578.07
DRG641,RIDALBirmingham,12709.62,3769.04,2886.16
DRG641,RIDALBirmingham,12393.95,3699.43,2630.58
DRG641,RIDALMobile,4804.82,4133.11,3273.11
DRG682,RIDCOFortCollins,29718.47,9938.26,8731.21
DRG682,RIDCODenver,40306.12,19406.45,17286.12
DRG683,RIDALDothan,19925.46,5752.87,4938.78
DRG683,RIDALBirmingham,10819.55,5812.24,5171.26
DRG683,RIDALBirmingham,23512.85,5464.63,4409.92
DRG683,RIDALHuntsville,9292.72,5019.03,4179.41
DRG683,RIDALBirmingham,19171.84,5913.09,4556.05
DRG683,RIDALBirmingham,24276.42,5211,4305.28
DRG683,RIDALBirmingham,25779.6,5647.67,4675.65
DRG683,RIDALBirmingham,15828.67,5613.45,4872.85
DRG683,RIDALMontgomery,25505.4,8413.11,5850.73
DRG683,RIDALMontgomery,21592.34,5929.76,4817.17
DRG684,RIDALDothan,18211.06,3723.75,2804
DRG684,RIDALBirmingham,15049.16,3592.58,2565.58
DRG684,RIDALBirmingham,22089,4415.84,2238.07
DRG684,RIDALMontgomery,17340.89,4053.51,2864.48
DRG684,RIDALBirmingham,6052.18,3768.54,2945.27
DRG684,RIDALBirmingham,15161.5,4786.03,3805.23
DRG684,RIDALBirmingham,13640.5,3590.5,2487.93
DRG684,RIDALHuntsville,17680.08,4209.91,3163.25
DRG684,RIDALBirmingham,24551.05,3335.1,2497.3
DRG684,RIDALHuntsville,16782.37,3504.93,2665.93
DRG689,RIDALDothan,32679.22,6892.9,6279.81
DRG689,RIDALBirmingham,16579.33,6596.66,5842
DRG689,RIDALBirmingham,20931.9,6218.18,5658
DRG689,RIDALDothan,19130.23,6263.53,5743.53
DRG689,RIDALHuntsville,11627.19,6145.19,5342.71
DRG689,RIDALBirmingham,28215,7015.53,6240.28
DRG689,RIDALBirmingham,37063.13,6688.18,5448.5
DRG689,RIDALBirmingham,19638.5,6652.57,6010.28
DRG689,RIDALDothan,10651.58,6776.75,6307.75
DRG689,RIDALMontgomery,24868.92,7988.23,7301.46
DRG690,RIDMOSt.Louis,12852.48,4378.23,3664.62
DRG690,RIDMEPortland,11979.1,4586.8,3560.36
DRG690,RIDPAJohnstown,8147.15,4098.84,3233
DRG690,RIDWIMadison,18767.16,4622.97,3771.92
DRG690,RIDALDothan,20601.17,4385.93,3508.06
DRG690,RIDALBirmingham,11506.74,4658.38,3641.48
DRG690,RIDALBirmingham,15745.25,4222.87,3198.5
DRG690,RIDALDothan,9210.84,4055.96,3453.19
DRG690,RIDALMontgomery,12095.68,5658.28,4811.88
DRG690,RIDALBirmingham,23007.34,4352.77,3256.51
DRG811,RIDNEOmaha,19876.75,6936.5,6192.5
DRG811,RIDOHCleveland,30030.7,6657.75,5742.85
DRG811,RIDPAErie,11300.8,6436.73,6212.46
DRG811,RIDTXHouston,48365.95,11825.71,7894.83
DRG811,RIDTXDallas,16478.4,7593.73,6843.33
DRG811,RIDTXElPaso,62871.05,9718.29,6528.23
DRG698,RIDALDothan,28252.76,8619.1,8106.4
DRG698,RIDALBirmingham,17433,8406.91,7869.83
DRG698,RIDALMontgomery,24181.46,10581.69,9807.84
DRG698,RIDALMontgomery,28739.78,8635.91,7486.95
DRG698,RIDALBirmingham,14155.68,8421.31,7578.31
DRG698,RIDALBirmingham,43808.68,12854.37,10758.85
DRG698,RIDALBirmingham,21490.16,7613.08,6955.41
DRG698,RIDALHuntsville,40317.69,9905.07,8609.17
DRG698,RIDALBirmingham,27330.84,8044.84,7372.46
DRG698,RIDALHuntsville,10005.61,8390.11,7488.11
DRG699,RIDFLOrlando,30377.06,6735,5987.28
DRG811,RIDMDSalisbury,27068.85,7707,6788
DRG699,RIDALDothan,17647.47,5443,4912.17
DRG699,RIDALBirmingham,9976.81,5451.09,4842.36
DRG699,RIDALMontgomery,20239.69,6982.07,5586.15
DRG699,RIDALMontgomery,24286.18,5499.62,4739.06
DRG699,RIDALBirmingham,26774.7,8671.07,6008.92
DRG699,RIDALBirmingham,13336,5717.08,4083.58
DRG699,RIDALHuntsville,19718.2,5897.06,5313.75
DRG699,RIDALDothan,23664.16,5251,4601.33
DRG699,RIDALHuntsville,12670.9,5791.63,4770.54
DRG811,RIDFLMiami,46910.73,9052.66,7107.16
DRG811,RIDFLMiami,35179.35,11963.28,11321
DRG811,RIDGAMacon,32293.81,8494.55,8035.74
DRG812,RIDALDothan,19670.22,4487.89,3879.84
DRG812,RIDALBirmingham,11610,4991.84,3658.69
DRG812,RIDALBirmingham,19065.81,4247.45,3411.16
DRG812,RIDALDothan,7808.31,4089.11,3606.71
DRG812,RIDALMontgomery,8937.72,5501,4758.9
DRG812,RIDALBirmingham,26499.83,4276,3718
DRG812,RIDALHuntsville,10150.36,4150.08,3430.72
DRG812,RIDALBirmingham,13303.33,6140.97,3136.64
DRG812,RIDALBirmingham,18394.25,4119.41,3112.83
DRG812,RIDALMobile,5335.45,4843,4231.36
DRG853,RIDALDothan,73419.78,27425.6,25958.26
DRG853,RIDALBirmingham,160186.05,33721.47,32248.64
DRG853,RIDALMontgomery,118739.33,33667.91,32868
DRG853,RIDALMontgomery,88032.28,30654.24,30058.12
DRG853,RIDALBirmingham,51589.15,30401.75,28615.03
DRG853,RIDALBirmingham,185073.88,47347.27,44660.55
DRG853,RIDALHuntsville,135358.51,34531.44,31518.8
DRG853,RIDALBirmingham,307212.27,32318.36,31107.11
DRG853,RIDALBirmingham,188313.35,27409.5,26731.9
DRG853,RIDALBirmingham,126829.85,39445.38,38262.57
DRG885,RIDALHuntsville,9930.83,4986.83,4219.28
DRG885,RIDALTuscaloosa,18125.89,5505.13,4347.39
DRG870,RIDCASanDiego,218492.69,49290.26,47465.63
DRG870,RIDALDothan,129694.04,33048.2,32095.75
DRG870,RIDALMontgomery,110826.26,37376.2,36927.66
DRG870,RIDALMontgomery,86086.93,32599.37,32129.81
DRG870,RIDALBirmingham,61137.53,33133.07,27404.3
DRG870,RIDALBirmingham,205492.84,48198.38,45050.17
DRG870,RIDALHuntsville,130488.42,35777.15,33448.45
DRG870,RIDALBirmingham,316272.56,33713.26,31744.26
DRG870,RIDALBirmingham,270372.38,32820.38,31586.07
DRG870,RIDALBirmingham,129800.64,44161.64,35826.76
DRG885,RIDALBirmingham,35241.6,6163.48,4283.56
DRG885,RIDALMobile,15418.16,4855,4197.33
DRG885,RIDCASalinas,38953.12,12753.27,11872.9
DRG885,RIDCABakersfield,18363.68,8743.44,8052.61
DRG871,RIDALDothan,44643.01,11123.38,10400.51
DRG871,RIDALBirmingham,26056.59,10797.4,10082.13
DRG871,RIDALBirmingham,49858.93,10576.91,9506.4
DRG871,RIDALDothan,22160.9,9486.09,8980.27
DRG871,RIDALBirmingham,60491.3,9637.76,9030.69
DRG871,RIDALHuntsville,21975.76,9624.12,8761.49
DRG871,RIDALBirmingham,41809.6,10962.36,9634.7
DRG871,RIDALBirmingham,35601.75,9402.78,8171.14
DRG871,RIDALBirmingham,66437.14,10664.73,9883.31
DRG871,RIDALBirmingham,23619.53,10121.62,9547.66
DRG885,RIDDCWashington,12051.48,12134.8,11464.08
DRG885,RIDDCWashington,13448.31,8112.56,7117.04
DRG885,RIDDCWashington,25219.31,8767.63,7835.75
DRG885,RIDFLJacksonville,13975.74,8935.71,8083.53
DRG872,RIDALDothan,25434.18,6881.76,5426.4
DRG872,RIDALBirmingham,14409.25,7070.37,5513.5
DRG872,RIDALBirmingham,21602.83,6115.69,5191.66
DRG872,RIDALHuntsville,13328.39,5844.04,5056.66
DRG872,RIDALBirmingham,18996.52,6523.14,5101.04
DRG872,RIDALBirmingham,24525.29,6006.04,5209.54
DRG872,RIDALBirmingham,38877.69,7092.78,5398.43
DRG872,RIDALBirmingham,17950.5,6288.35,5617.15
DRG872,RIDALMontgomery,32664.94,7696.47,7046.15
DRG872,RIDALMontgomery,22794.76,6654.83,5468.95
DRG897,RIDALDothan,12254.78,3620.57,2924.82
DRG897,RIDALBirmingham,10866.42,3289.78,2492.64
DRG897,RIDALBirmingham,12409.78,3500,2780.66
DRG897,RIDALMontgomery,17288.35,4213.71,3248
DRG897,RIDALBirmingham,5622.64,3829.64,2808.07
DRG897,RIDALHuntsville,22833.53,3900.46,3074.6
DRG897,RIDALBirmingham,17280.1,3405.63,2577.42
DRG897,RIDALBirmingham,17065.61,3391.3,2781.76
DRG897,RIDALHuntsville,5329.36,3481.27,2350.9
DRG897,RIDALTuscaloosa,13532.52,3936.91,3079.85
DRG948,RIDHIHonolulu,21434.23,5659.69,3154.46
DRG948,RIDILEvanston,24563.81,5973.59,5217.53
DRG948,RIDILChicago,20625.41,7533.41,4982.2
DRG948,RIDINGary,20119.08,4092,3360.47
DRG948,RIDLAShreveport,6552.36,4488,3770.54
DRG948,RIDLAMonroe,17081.66,4231.33,3248.38
DRG917,RIDALBirmingham,20412.92,8083.38,6370.53
DRG917,RIDDCWashington,8559.72,8046,7637.27
DRG917,RIDALDothan,53962,9502.23,8718.53
DRG917,RIDALBirmingham,34537.27,7799.45,6984.9
DRG917,RIDALBirmingham,59053.63,9375.72,7735.63
DRG917,RIDALMontgomery,41633.46,9817.38,9125.69
DRG917,RIDALBirmingham,18859.86,8499.93,7594.33
DRG917,RIDALBirmingham,52977.15,12146.43,9795.96
DRG917,RIDALBirmingham,21950.23,7688.69,6462.92
DRG917,RIDALHuntsville,32571.92,9193.29,7949.57
DRG948,RIDAZPhoenix,21045.72,7217.3,4545.17
DRG948,RIDAZPhoenix,19199.13,4852,4248.26
DRG948,RIDCASacramento,28097.57,5217.6,4434.96
DRG948,RIDCAModesto,42186.72,5042,4321.36
DRG918,RIDALDothan,16583.15,3645.42,2619.23
DRG918,RIDALBirmingham,4973.93,3627.06,2653.68
DRG918,RIDALBirmingham,14834.22,3323.14,2574.4
DRG918,RIDALHuntsville,7467.4,3263.6,2642.6
DRG918,RIDALBirmingham,13982.84,4594.65,2374
DRG918,RIDALBirmingham,11869.36,3261.64,2570.8
DRG918,RIDALBirmingham,14105.11,3484.33,2344.33
DRG918,RIDALMontgomery,11902.5,4128.88,3446
DRG918,RIDALBirmingham,9588.43,3994.06,2658.31
DRG918,RIDALBirmingham,14658.82,4703.02,3648.17
