@relation 'training_set-weka.filters.unsupervised.attribute.Remove-R2,4-6'

@attribute class {DRG039,DRG057,DRG069,DRG064,DRG065,DRG066,DRG074,DRG101,DRG149,DRG176,DRG177,DRG189,DRG178,DRG190,DRG191,DRG193,DRG194,DRG192,DRG195,DRG202,DRG203,DRG207,DRG238,DRG252,DRG253,DRG208,DRG254,DRG291,DRG243,DRG244,DRG246,DRG247,DRG249,DRG251,DRG280,DRG292,DRG281,DRG282,DRG286,DRG287,DRG293,DRG300,DRG301,DRG303,DRG305,DRG308,DRG312,DRG309,DRG310,DRG313,DRG314,DRG315,DRG330,DRG377,DRG329,DRG372,DRG378,DRG379,DRG389,DRG390,DRG391,DRG394,DRG439,DRG392,DRG460,DRG473,DRG418,DRG419,DRG469,DRG470,DRG480,DRG481,DRG536,DRG482,DRG552,DRG491,DRG563,DRG602,DRG603,DRG638,DRG640,DRG682,DRG641,DRG683,DRG684,DRG689,DRG690,DRG811,DRG698,DRG699,DRG812,DRG853,DRG885,DRG870,DRG871,DRG872,DRG897,DRG948,DRG917,DRG918}
@attribute providerRegionDescription {RIDALDothan,RIDALBirmingham,RIDALMontgomery,RIDALHuntsville,RIDAZPhoenix,RIDAZMesa,RIDARJonesboro,RIDALTuscaloosa,RIDALMobile,RIDFLClearwater,RIDMABoston,RIDNHManchester,RIDNYAlbany,RIDTXHouston,RIDWIMilwaukee,RIDFLMiami,RIDNDBismarck,RIDTXDallas,RIDFLOrlando,RIDFLPensacola,RIDGAAtlanta,RIDMOSt.Louis,RIDILJoliet,RIDMEBangor,RIDCASantaCruz,RIDCTHartford,RIDFLOcala,RIDCTNewHaven,RIDSCCharleston,RIDNJCamden,RIDNYBronx,RIDPAErie,RIDKSWichita,RIDPAPittsburgh,RIDMEPortland,RIDGAAugusta,RIDGAMacon,RIDILEvanston,RIDILElgin,RIDMDSalisbury,RIDMIAnnArbor,RIDMILansing,RIDKYPaducah,RIDNJMorristown,RIDCANapa,RIDCASacramento,RIDCODenver,RIDCOGreeley,RIDCTBridgeport,RIDFLFortMyers,RIDCAChico,RIDTNMemphis,RIDOHCanton,RIDARSpringdale,RIDCAFresno,RIDCAStockton,RIDCALosAngeles,RIDMNDuluth,RIDCAOrangeCounty,RIDCASanDiego,RIDCASanBernardino,RIDNCRaleigh,RIDWIAppleton,RIDILBloomington,RIDPAAllentown,RIDCARedding,RIDAZTucson,RIDIAIowaCity,RIDMIDearborn,RIDILSpringfield,RIDARLittleRock,RIDCOBoulder,RIDCOFortCollins,RIDPAJohnstown,RIDWIMadison,RIDNEOmaha,RIDOHCleveland,RIDTXElPaso,RIDCASalinas,RIDCABakersfield,RIDDCWashington,RIDFLJacksonville,RIDHIHonolulu,RIDILChicago,RIDINGary,RIDLAShreveport,RIDLAMonroe,RIDCAModesto}
@attribute averageMedicarePayments numeric

@data
DRG195,RIDALMontgomery,4157.94
DRG195,RIDALBirmingham,2929.14
DRG195,RIDALHuntsville,2606.75
DRG195,RIDALBirmingham,2893.68
DRG195,RIDALBirmingham,2605.69
DRG195,RIDALBirmingham,2790.17
DRG202,RIDALDothan,3728.24
DRG202,RIDALBirmingham,3437.25
DRG202,RIDALDothan,3369.45
DRG202,RIDALHuntsville,3494.33
DRG202,RIDALBirmingham,3425.05
DRG202,RIDALBirmingham,3628.46
DRG202,RIDALBirmingham,3886.57
DRG202,RIDALMontgomery,4830.8
DRG202,RIDALMontgomery,3550.23
DRG202,RIDALDothan,4447
DRG203,RIDALBirmingham,2126.46
DRG203,RIDALDothan,2251
DRG203,RIDALBirmingham,2198.84
DRG203,RIDALBirmingham,2479.53
DRG203,RIDALMontgomery,3376.75
DRG203,RIDALMontgomery,2324.76
DRG203,RIDALBirmingham,2764.33
DRG203,RIDALDothan,2693
DRG203,RIDALBirmingham,2209.88
DRG203,RIDALBirmingham,3823.71
DRG207,RIDALDothan,27831.31
DRG207,RIDALBirmingham,26638.08
DRG207,RIDALBirmingham,29393.46
DRG207,RIDALMontgomery,32496.47
DRG207,RIDALMontgomery,27180.94
DRG207,RIDALBirmingham,28403.66
DRG207,RIDALBirmingham,40777.57
DRG207,RIDALHuntsville,30855.15
DRG207,RIDALBirmingham,25758.85
DRG207,RIDALBirmingham,27020.25
DRG238,RIDCTNewHaven,22800.37
DRG238,RIDSCCharleston,16596.75
DRG252,RIDNJCamden,17702.22
DRG252,RIDNYBronx,40880.45
DRG252,RIDPAErie,13655.27
DRG253,RIDKSWichita,11497.54
DRG208,RIDALDothan,11963.56
DRG208,RIDALBirmingham,12279.64
DRG208,RIDALBirmingham,11530.09
DRG208,RIDALBirmingham,11087.53
DRG208,RIDALBirmingham,11048.31
DRG208,RIDALBirmingham,11863.08
DRG208,RIDALBirmingham,11837.08
DRG208,RIDALDothan,12260.26
DRG208,RIDALMontgomery,14550.09
DRG208,RIDALMontgomery,12293.57
DRG253,RIDPAPittsburgh,13381
DRG254,RIDMEPortland,9104
DRG254,RIDSCCharleston,7689.22
DRG291,RIDGAAugusta,8390.92
DRG291,RIDGAAtlanta,8951.86
DRG291,RIDGAMacon,8504.12
DRG291,RIDILJoliet,8383.55
DRG291,RIDILEvanston,11001.01
DRG291,RIDILElgin,7883.59
DRG291,RIDKSWichita,7203.56
DRG238,RIDALDothan,16083.06
DRG238,RIDALBirmingham,15361.34
DRG238,RIDALBirmingham,15417.39
DRG238,RIDALBirmingham,15057.75
DRG238,RIDALMontgomery,18966.59
DRG238,RIDALBirmingham,15268.34
DRG238,RIDALBirmingham,21019.16
DRG238,RIDALHuntsville,16548.32
DRG291,RIDMDSalisbury,7027.38
DRG243,RIDALDothan,14005.43
DRG243,RIDALBirmingham,12449.88
