@relation 'test_set-weka.filters.unsupervised.attribute.Remove-R2,4-6'

@attribute class {DRG039,DRG057,DRG064,DRG065,DRG069,DRG066,DRG074,DRG101,DRG149,DRG176,DRG177,DRG178,DRG189,DRG190,DRG193,DRG191,DRG192,DRG194,DRG195,DRG202,DRG203,DRG207,DRG208,DRG238,DRG243,DRG291,DRG244,DRG246,DRG247,DRG249,DRG251,DRG252,DRG253,DRG254,DRG280,DRG281,DRG282,DRG286,DRG287,DRG292,DRG293,DRG300,DRG301,DRG303,DRG305,DRG308,DRG309,DRG310,DRG312,DRG313,DRG314,DRG315,DRG329,DRG330,DRG372,DRG377,DRG378,DRG379,DRG389,DRG390,DRG391,DRG392,DRG394,DRG418,DRG419,DRG439,DRG460,DRG469,DRG470,DRG473,DRG480,DRG481,DRG482,DRG491,DRG536,DRG552,DRG563,DRG602,DRG603,DRG638,DRG640,DRG641,DRG682,DRG683,DRG684,DRG689,DRG690,DRG698,DRG699,DRG811,DRG812,DRG853,DRG870,DRG871,DRG885,DRG872,DRG897,DRG917,DRG948,DRG918}
@attribute providerRegionDescription {RIDALDothan,RIDALBirmingham,RIDALMobile,RIDALHuntsville,RIDALTuscaloosa,RIDAKAnchorage,RIDAZPhoenix,RIDAZTucson,RIDAZSunCity,RIDAZMesa,RIDNVLasVegas,RIDARSpringdale,RIDARLittleRock,RIDARJonesboro,RIDMOSpringfield,RIDARFortSmith,RIDCARedding,RIDCASanMateoCounty,RIDCANapa,RIDCASacramento,RIDCASanDiego,RIDCABakersfield,RIDCAChico,RIDCALosAngeles,RIDCAOrangeCounty,RIDCAVentura,RIDCAStockton,RIDCAFresno,RIDCASantaBarbara,RIDCASantaRosa,RIDCAModesto,RIDCAContraCostaCounty,RIDCASanLuisObispo,RIDCAPalmSprings/RanchoM,RIDCASanBernardino,RIDCAAlamedaCounty,RIDCASanFrancisco,RIDCASanJose,RIDCASalinas,RIDALMontgomery,RIDFLPensacola,RIDTNMemphis,RIDCOGreeley,RIDPAErie,RIDCASantaCruz,RIDCODenver,RIDCOFortCollins,RIDCOPueblo,RIDCOColoradoSprings,RIDCTNewHaven,RIDCTHartford,RIDARTexarkana,RIDGARome,RIDMSTupelo,RIDGAColumbus,RIDNHLebanon,RIDNYSyracuse,RIDNCAsheville,RIDOHAkron,RIDOKTulsa,RIDPAYork,RIDPAHarrisburg,RIDTXHouston,RIDTXDallas,RIDTXWaco,RIDFLOrlando,RIDMIKalamazoo,RIDMSJackson,RIDMOSt.Louis,RIDMEPortland,RIDNHManchester,RIDNJCamden,RIDNYBuffalo,RIDNJHackensack,RIDNCGreenville,RIDNDBismarck,RIDNDMinot,RIDOHToledo,RIDOHElyria,RIDTNJackson,RIDVAArlington,RIDVANorfolk,RIDVARoanoke,RIDWVCharleston,RIDWIMadison,RIDWIWausau,RIDWIGreenBay,RIDFLSarasota,RIDFLMiami,RIDNMAlbuquerque,RIDCOBoulder,RIDCTBridgeport,RIDCOGrandJunction,RIDMSMeridian,RIDFLTampa,RIDFLOrmondBeach,RIDFLFortLauderdale,RIDGAAtlanta,RIDGASavannah,RIDUTSaltLakeCity,RIDWASpokane,RIDMIDetroit,RIDFLFortMyers,RIDILSpringfield,RIDILBlueIsland,RIDILChicago,RIDDCWashington,RIDDEWilmington,RIDFLClearwater,RIDGAMacon,RIDHIHonolulu}
@attribute averageMedicarePayments numeric

@data
DRG057,RIDCAPalmSprings/RanchoM,6176.72
DRG057,RIDCABakersfield,6903.09
DRG057,RIDCALosAngeles,11373.66
DRG057,RIDCAContraCostaCounty,18363.08
DRG057,RIDCASanBernardino,6136.17
DRG057,RIDCAAlamedaCounty,8440
DRG057,RIDCASanJose,6695.45
DRG057,RIDCASacramento,5702.37
DRG057,RIDCASanDiego,4218.14
DRG057,RIDCASanBernardino,9161.07
DRG064,RIDALBirmingham,12512.57
DRG064,RIDALBirmingham,8865.87
DRG064,RIDALHuntsville,10468.32
DRG064,RIDALBirmingham,8911.16
DRG064,RIDALTuscaloosa,10258.81
DRG064,RIDALBirmingham,8808.81
DRG064,RIDALDothan,10025.03
DRG064,RIDALBirmingham,9038.21
DRG064,RIDALBirmingham,10361.25
DRG064,RIDALBirmingham,8742.23
DRG064,RIDALHuntsville,8892.52
DRG064,RIDALMobile,12459.76
DRG064,RIDALMobile,8310.44
DRG064,RIDALTuscaloosa,10434.33
DRG064,RIDALMobile,8082.3
DRG064,RIDALBirmingham,10009.9
DRG064,RIDALBirmingham,10379.05
DRG064,RIDALMobile,8987.31
DRG064,RIDALBirmingham,9747
DRG064,RIDALBirmingham,10368.17
DRG064,RIDALHuntsville,8959.66
DRG064,RIDALBirmingham,8654.64
DRG064,RIDALMobile,7871.28
DRG064,RIDALMontgomery,10373.33
DRG064,RIDAKAnchorage,16696.61
DRG064,RIDAKAnchorage,24413.9
DRG064,RIDAZPhoenix,12601.57
DRG064,RIDAZTucson,10883.09
DRG064,RIDAZPhoenix,15298.16
DRG064,RIDAZTucson,11710.74
DRG064,RIDAZTucson,10271.26
DRG064,RIDAZPhoenix,12570.57
DRG064,RIDAZPhoenix,11647.8
DRG064,RIDAZPhoenix,11039.89
DRG064,RIDAZPhoenix,19887.76
DRG064,RIDAZPhoenix,14974.54
DRG064,RIDAZPhoenix,13170.85
DRG064,RIDAZMesa,10928.66
DRG064,RIDAZPhoenix,11183.12
DRG064,RIDAZSunCity,9553.07
DRG064,RIDAZTucson,17242.63
DRG064,RIDAZMesa,11457.47
DRG064,RIDAZTucson,9400.71
DRG064,RIDAZMesa,9836.44
DRG064,RIDAZPhoenix,10526.27
DRG064,RIDAZPhoenix,9645.91
DRG064,RIDAZSunCity,9869.11
DRG064,RIDNVLasVegas,11411.66
DRG064,RIDAZPhoenix,11445.73
DRG064,RIDAZPhoenix,11430.58
DRG064,RIDAZMesa,11115.08
DRG064,RIDAZMesa,9190.38
DRG064,RIDARSpringdale,8320.52
DRG064,RIDARLittleRock,9809.93
DRG064,RIDARSpringdale,8998.45
DRG064,RIDARLittleRock,8951.03
DRG064,RIDARLittleRock,12564.06
DRG064,RIDARSpringdale,9297.5
DRG064,RIDARJonesboro,9893.4
DRG064,RIDARSpringdale,9970.1
DRG064,RIDARLittleRock,9713.56
DRG064,RIDARLittleRock,8986.82
DRG064,RIDARLittleRock,8958.33
DRG064,RIDARFortSmith,9448.69
DRG064,RIDARFortSmith,8275.3
DRG064,RIDARLittleRock,10529.4
DRG064,RIDARLittleRock,10539.85
DRG064,RIDARLittleRock,9423.58
DRG064,RIDARJonesboro,16877.66
DRG064,RIDARLittleRock,10265.76
DRG064,RIDCARedding,13960.82
DRG064,RIDCASanMateoCounty,13018.62
DRG064,RIDCASanFrancisco,15740.42
DRG064,RIDCANapa,14329.03
DRG064,RIDCASacramento,14487.26
DRG064,RIDCALosAngeles,19124.41
DRG064,RIDCASanBernardino,16514.72
DRG064,RIDCASanDiego,14703.38
DRG064,RIDCASanDiego,19025.71
DRG064,RIDCASanDiego,12646.83
DRG064,RIDCAChico,11947.57
DRG064,RIDCABakersfield,13726.16
DRG064,RIDCASanJose,23799.37
DRG064,RIDCAChico,11214.5
DRG064,RIDCAAlamedaCounty,18515.59
DRG064,RIDCASanDiego,12928.2
DRG064,RIDCASanFrancisco,20632.9
DRG064,RIDCALosAngeles,14832.13
DRG064,RIDCABakersfield,13567.37
DRG065,RIDALBirmingham,5664.71
DRG065,RIDALBirmingham,7201.43
DRG065,RIDALBirmingham,5345.91
DRG065,RIDFLPensacola,5011.52
DRG065,RIDALBirmingham,5065.84
DRG065,RIDALHuntsville,5881.33
DRG065,RIDALBirmingham,4916.48
DRG065,RIDALBirmingham,5088.76
DRG065,RIDALDothan,5091.94
DRG065,RIDALHuntsville,5175.27
DRG065,RIDALDothan,5228.25
DRG065,RIDALBirmingham,4881.03
DRG065,RIDALBirmingham,6125.54
DRG065,RIDALHuntsville,5650.63
DRG065,RIDALBirmingham,4929.36
DRG065,RIDALBirmingham,5041.53
DRG065,RIDALBirmingham,5372.33
DRG065,RIDALHuntsville,5668.88
DRG065,RIDALMobile,4662.9
DRG065,RIDALHuntsville,5307.47
DRG065,RIDALMobile,8553.27
DRG065,RIDALBirmingham,4924.6
DRG065,RIDALMobile,4826.45
DRG065,RIDALTuscaloosa,5894.52
DRG065,RIDALMobile,4545.6
DRG065,RIDALBirmingham,5703.6
DRG065,RIDALBirmingham,5409.3
DRG065,RIDALMobile,4788.18
DRG065,RIDALBirmingham,5327.68
DRG065,RIDALBirmingham,6376.88
DRG065,RIDALBirmingham,5610.5
DRG065,RIDALMontgomery,5512.5
DRG065,RIDALMobile,4973.66
DRG065,RIDALHuntsville,5220.27
DRG065,RIDALBirmingham,4871.32
DRG065,RIDALMobile,4139.52
DRG065,RIDALTuscaloosa,6596.07
DRG065,RIDALMontgomery,5155.27
DRG065,RIDALMontgomery,5776.35
DRG065,RIDALMontgomery,6218
DRG065,RIDALBirmingham,4967.71
DRG065,RIDALBirmingham,5575.11
DRG065,RIDALBirmingham,5867.85
DRG065,RIDFLPensacola,5155.18
DRG065,RIDAKAnchorage,9364.02
DRG065,RIDAKAnchorage,10175.35
DRG065,RIDAKAnchorage,15491.09
DRG065,RIDAKAnchorage,7402.27
DRG065,RIDAKAnchorage,10815.33
DRG065,RIDAKAnchorage,13597.72
DRG065,RIDAZPhoenix,7628.51
DRG065,RIDAZTucson,6890.04
DRG065,RIDAZPhoenix,8743.53
DRG065,RIDAZTucson,6385.11
DRG065,RIDAZTucson,5772.44
DRG065,RIDAZPhoenix,6868.87
DRG065,RIDAZPhoenix,6707.98
DRG065,RIDAZPhoenix,6238.67
DRG065,RIDAZPhoenix,6839.63
DRG065,RIDAZPhoenix,11208.3
DRG065,RIDAZPhoenix,8602.76
DRG065,RIDAZPhoenix,7296.24
DRG065,RIDAZMesa,5716.28
DRG065,RIDAZPhoenix,6094.49
DRG065,RIDAZTucson,8265.83
DRG065,RIDAZPhoenix,7331.23
DRG065,RIDAZSunCity,5654.01
DRG065,RIDAZTucson,10535.85
DRG065,RIDAZMesa,6121.17
DRG065,RIDAZPhoenix,6694.88
DRG065,RIDAZTucson,5542.32
DRG065,RIDAZPhoenix,4674.7
DRG065,RIDAZMesa,5388.34
DRG065,RIDAZPhoenix,6787.19
DRG065,RIDAZPhoenix,6385.52
DRG065,RIDAZSunCity,5721.45
DRG065,RIDAZPhoenix,6608.4
DRG065,RIDNVLasVegas,6461.95
DRG065,RIDAZPhoenix,7608.95
DRG065,RIDAZPhoenix,7072.93
DRG065,RIDAZTucson,4949.33
DRG065,RIDAZPhoenix,7310.5
DRG065,RIDNVLasVegas,6006.92
DRG065,RIDAZPhoenix,6738.44
DRG065,RIDAZMesa,6297.56
DRG065,RIDAZMesa,7046.2
DRG065,RIDAZMesa,5809.07
DRG065,RIDAZPhoenix,5093.54
DRG065,RIDARSpringdale,5866.94
DRG069,RIDCAAlamedaCounty,6349.96
DRG069,RIDCASanMateoCounty,4805.69
DRG069,RIDCALosAngeles,3917.16
DRG069,RIDALBirmingham,2894.9
DRG069,RIDALTuscaloosa,3287
DRG066,RIDALBirmingham,4943.32
DRG066,RIDALBirmingham,3244.27
DRG066,RIDFLPensacola,3590.31
DRG066,RIDALBirmingham,3216
DRG066,RIDALHuntsville,3482.51
DRG066,RIDALBirmingham,3249.1
